key,de-DE,en-US
custom.data.type.kulturgis.createLinksButton,Fundplätze verknüpfen,Link find places
custom.data.type.kulturgis.creatingLink,Fundplätze werden verknüpft...,Linking find places...
custom.data.type.kulturgis.success.none,Es wurden keine neu zu verknüpfenden Fundplätze gefunden.,No new find places to link were found.
custom.data.type.kulturgis.success.single,Ein Fundplatz wurde erfolgreich verknüpft.,Successfully linked one find place.
custom.data.type.kulturgis.success.multiple,Fundplätze wurden erfolgreich verknüpft.,find places successfully linked.
custom.data.type.kulturgis.error,"Beim Versuch, Fundplätze zu verknüpfen, ist ein Fehler aufgetreten.","An error occurred while attempting to link find places."
custom.data.type.kulturgis.ok,OK,OK
custom.mask.splitter.alkis.name,ALKIS-Daten,ALKIS data
custom.mask.splitter.alkis.title|text,ALKIS-Daten,ALKIS data
custom.mask.splitter.alkis.header.districts,Gemarkungen,Districts
custom.mask.splitter.alkis.header.plots,Flurstücke,Plots
custom.mask.splitter.alkis.loading,Lade Daten...,Loading data...
custom.mask.splitter.alkis.noResults,Keine,None
server.config.parameter.system.kulturgis.hamburg_tag_id.label,Tag-ID Hamburg, Tag ID Hamburg
server.config.parameter.system.kulturgis.niedersachsen_tag_id.label,Tag-ID Niedersachsen, Tag ID Niedersachsen
